frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22548,2022/4/22 20:21,h0,1,2,10.375,835.235,0,0.061861,0,1,4,13263,0,0,0,0
22549,2022/4/22 20:21,h0,1,2,10.587,848.523,0,0.085036,0,1,4,12731,0,0,0,0
22550,2022/4/22 20:21,h0,1,2,10.641,851.707,0,0.107221,0,1,4,12239,0,0,0,0
22551,2022/4/22 20:21,h0,1,2,10.687,854.214,0,0.125,0,1,4,11894,0,0,0,0
22552,2022/4/22 20:21,h0,1,2,10.743,857.272,0,0.125,0,1,4,11434,0,0,0,0
22553,2022/4/22 20:21,h0,1,2,10.789,859.448,0,0.166969,0,0.748188,3,11353,0,0,0,0
22555,2022/4/22 20:21,h0,1,2,10.844,862.337,0,0.1875,0,0.625,3,11767,0,0,0,0
22556,2022/4/22 20:21,h0,1,2,10.844,862.337,0,0.209083,0,0.581833,3,12001,0,0,0,0
22557,2022/4/22 20:21,h0,1,2,10.945,867.038,0,0.233107,0,0.533786,3,12074,0,0,0,0
22558,2022/4/22 20:21,h0,1,2,10.991,869.168,0,0.25,0,0.5,3,12008,0,0,0,0
22559,2022/4/22 20:21,h0,1,2,11.047,871.577,0,0.261962,0,0.476077,3,11708,0,0,0,0
22560,2022/4/22 20:21,h0,1,2,11.093,873.625,0,0.270758,0,0.458484,3,11564,0,0,0,0
22561,2022/4/22 20:21,h0,1,2,11.15,876.065,0,0.28125,0,0.4375,3,11325,0,0,0,0
22563,2022/4/22 20:21,h0,1,2,11.256,880.371,0,0.302992,0,0.35053,3,10879,0,0,0,0
22564,2022/4/22 20:21,h0,1,2,11.3,881.939,0,0.311847,0,0.315111,3,10761,0,0,0,0
22565,2022/4/22 20:21,h0,1,2,11.352,883.861,0,0.322238,0,0.293024,3,10553,0,0,0,0
22566,2022/4/22 20:21,h0,1,2,11.403,885.762,0,0.332347,0,0.272807,3,10346,0,0,0,0
22567,2022/4/22 20:21,h0,1,2,11.454,887.602,0,0.342692,0,0.252116,3,10140,0,0,0,0
22568,2022/4/22 20:21,h0,1,2,11.505,889.429,0,0.353369,0,0.211524,3,9952,0,0,0,0
22569,2022/4/22 20:21,h0,1,2,11.557,891.236,0,0.364423,0,0.167309,3,9815,0,0,0,0
22570,2022/4/22 20:21,h0,1,2,11.612,893.185,0,0.375,0,0.125,3,9688,0,0,0,0
22571,2022/4/22 20:21,h0,1,2,11.664,894.928,0,0.375,0,0.125,3,9581,0,0,0,0
22573,2022/4/22 20:21,h0,1,2,11.771,898.854,0,0.40625,0,0,3,9443,0,0,0,0
22575,2022/4/22 20:21,h0,1,2,11.771,898.854,0,0.418657,0,0,3,9443,0,0,0,0
22577,2022/4/22 20:21,h0,1,2,11.931,905.792,0,0.4375,0,0,3,9295,0,0,0,0
22578,2022/4/22 20:21,h0,1,2,11.931,905.792,0,0.4375,0,0,3,9220,0,0,0,0
22579,2022/4/22 20:21,h0,1,2,12.04,910.945,0,0.46128,0,0,3,9164,0,0,0,0
22580,2022/4/22 20:21,h0,1,2,12.095,913.741,0,0.46875,0,0,3,9120,0,0,0,0
22582,2022/4/22 20:21,h0,1,2,12.206,919.902,0,0.46875,0.098832,0,3,9038,0,0,0,0
22584,2022/4/22 20:21,h0,1,2,12.307,925.108,0,0.46875,0.125,0,3,8930,0,0,0,0
22585,2022/4/22 20:21,h0,1,2,12.366,927.907,0,0.46875,0.125,0,3,8883,0,0,0,0
22586,2022/4/22 20:21,h0,1,2,12.413,930.352,0,0.46875,0.4375,0,4,10385,0,0,0,0
22587,2022/4/22 20:21,h0,1,2,12.413,930.352,0,0.46875,0.469748,0,4,9358,0,0,0,0
22588,2022/4/22 20:21,h0,1,2,12.518,934.334,0,0.46875,0.487049,0,4,8433,0,0,0,0
22589,2022/4/22 20:21,h0,1,2,12.576,936.337,0,0.46875,0.5,0,4,7851,0,0,0,0
22590,2022/4/22 20:21,h0,1,2,12.623,938.073,0,0.46875,0.5,0,4,10199,0,0,0,0
22591,2022/4/22 20:21,h0,1,2,12.68,940.029,0,0.46875,0.5,0,4,8279,0,0,0,0
22592,2022/4/22 20:21,h0,1,2,12.728,941.675,0,0.46875,0.5,0,4,7966,0,0,0,0
22593,2022/4/22 20:21,h0,1,2,12.785,943.688,0,0.455158,0.5,0,4,8055,0,0,0,0
22595,2022/4/22 20:21,h0,1,2,12.834,945.306,0,0.446303,0.5,0,4,10908,0,0,0,0
22596,2022/4/22 20:21,h0,1,2,12.889,947.304,0,0.4375,0.5,0,4,8755,0,0,0,0
22597,2022/4/22 20:21,h0,1,2,12.937,948.909,0,0.4375,0.5,0,4,8228,0,0,0,0
22598,2022/4/22 20:21,h0,1,2,12.994,950.911,0,0.350253,0.5,0,4,8305,0,0,0,0
22599,2022/4/22 20:21,h0,1,2,13.041,952.644,0,0.313361,0.5,0,4,10780,0,0,0,0
22600,2022/4/22 20:21,h0,1,2,13.099,954.719,0,0.268434,0.522033,0,4,8611,0,0,0,0
22601,2022/4/22 20:21,h0,1,2,13.147,956.471,0,0.231238,0.540631,0,4,8513,0,0,0,0
22602,2022/4/22 20:21,h0,1,2,13.203,958.586,0,0.1875,0.5625,0,4,8594,0,0,0,0
22603,2022/4/22 20:21,h0,1,2,13.251,960.407,0,0.206059,0.5625,0,4,8651,0,0,0,0
22604,2022/4/22 20:21,h0,1,2,13.306,962.662,0,0.227855,0.5625,0,4,8721,0,0,0,0
22606,2022/4/22 20:21,h0,1,2,13.306,962.662,0,0.246581,0.5625,0,4,8766,0,0,0,0
22607,2022/4/22 20:21,h0,1,2,13.306,962.662,0,0.25,0.5625,0,4,8835,0,0,0,0
22609,2022/4/22 20:21,h0,1,2,13.511,970.803,0,0.22111,0.62028,0,4,9069,0,0,0,0
