frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
119,25/3/22 20:21,Siesta siesta,11,4,6.456,0,0.460037,0.422475,0,3,8807,0,0,0,0
120,25/3/22 20:21,Siesta siesta,11,4,6.511,0,0.4375,0.446626,0,3,7991,0,0,0,0
121,25/3/22 20:21,Siesta siesta,11,4,6.565,0,0.4375,0.469471,0,3,7665,0,0,0,0
122,25/3/22 20:21,Siesta siesta,11,4,6.618,0,0.4375,0.492091,0,3,8260,0,0,0,0
123,25/3/22 20:21,Siesta siesta,11,4,6.674,0,0.421612,0.5,0,3,8986,0,0,0,0
124,25/3/22 20:21,Siesta siesta,11,4,6.72,0,0.402047,0.5,0,3,8559,0,0,0,0
125,25/3/22 20:21,Siesta siesta,11,4,6.774,0,0.379407,0.5,0,3,8141,0,0,0,0
126,25/3/22 20:21,Siesta siesta,11,4,6.827,0,0.366041,0.517918,0,3,8590,0,0,0,0
127,25/3/22 20:21,Siesta siesta,11,4,6.88,0,0.355049,0.539901,0,3,9194,0,0,0,0
128,25/3/22 20:21,Siesta siesta,11,4,6.931,0,0.34438,0.561241,0,3,8596,0,0,0,0
129,25/3/22 20:21,Siesta siesta,11,4,6.982,0,0.31395,0.5625,0,3,8258,0,0,0,0
130,25/3/22 20:21,Siesta siesta,11,4,7.033,0,0.281468,0.5625,0,3,8197,0,0,0,0
131,25/3/22 20:21,Siesta siesta,11,4,7.084,0,0.249948,0.562552,0,3,8264,0,0,0,0
132,25/3/22 20:21,Siesta siesta,11,4,7.142,0,0.224674,0.587826,0,3,8420,0,0,0,0
133,25/3/22 20:21,Siesta siesta,11,4,7.193,0,0.202464,0.610036,0,3,8578,0,0,0,0
134,25/3/22 20:21,Siesta siesta,11,4,7.252,0,0.134019,0.614304,0,3,8765,0,0,0,0
135,25/3/22 20:21,Siesta siesta,11,4,7.302,0,0.025823,0.592665,0,3,8930,0,0,0,0
136,25/3/22 20:21,Siesta siesta,11,4,7.361,0,-0.104252,0.56665,0,3,9147,0,0,0,0
137,25/3/22 20:21,Siesta siesta,11,4,7.409,0,-0.149783,0.5625,0,3,9325,0,0,0,0
138,25/3/22 20:21,Siesta siesta,11,4,7.469,0,-0.187615,0.5625,0,3,9448,0,0,0,0
139,25/3/22 20:21,Siesta siesta,11,4,7.517,0,-0.218162,0.5625,0,3,9429,0,0,0,0
140,25/3/22 20:21,Siesta siesta,11,4,7.574,0,-0.134552,0.586557,0,3,9388,0,0,0,0
141,25/3/22 20:21,Siesta siesta,11,4,7.623,0,-0.061981,0.607291,0,3,9323,0,0,0,0
142,25/3/22 20:21,Siesta siesta,11,4,7.682,0,0.022076,0.639717,0,3,9311,0,0,0,0
143,25/3/22 20:21,Siesta siesta,11,4,7.731,0,0.085347,0.681898,0,3,9489,0,0,0,0
144,25/3/22 20:21,Siesta siesta,11,4,7.731,0,0.162429,0.733286,0,3,9660,0,0,0,0
145,25/3/22 20:21,Siesta siesta,11,4,7.841,0,0.180869,0.763261,0,3,9919,0,0,0,0
146,25/3/22 20:21,Siesta siesta,11,4,7.899,0,0.167682,0.789637,0,3,10096,0,0,0,0
147,25/3/22 20:21,Siesta siesta,11,4,7.949,0,0.156432,0.812136,0,3,10276,0,0,0,0
148,25/3/22 20:21,Siesta siesta,11,4,8.008,0,0.143892,0.837216,0,4,9054,0,0,0,0
149,25/3/22 20:21,Siesta siesta,11,4,8.056,0,0.133462,0.858076,0,4,8921,0,0,0,0
150,25/3/22 20:21,Siesta siesta,11,4,8.116,0,0.125,0.883181,0,4,9022,0,0,0,0
151,25/3/22 20:21,Siesta siesta,11,4,8.165,0,0.125,0.903535,0,4,9153,0,0,0,0
152,25/3/22 20:21,Siesta siesta,11,4,8.225,0,0.125,0.927998,0,4,9310,0,0,0,0
153,25/3/22 20:21,Siesta siesta,11,4,8.274,0,0.119436,0.9375,0,4,9451,0,0,0,0
154,25/3/22 20:21,Siesta siesta,11,4,8.334,0,0.106639,0.9375,0,4,9621,0,0,0,0
155,25/3/22 20:21,Siesta siesta,11,4,8.374,0,0.098164,0.9375,0,4,9758,0,0,0,0
156,25/3/22 20:21,Siesta siesta,11,4,8.434,0,0.061256,0.953747,0,4,9981,0,0,0,0
157,25/3/22 20:21,Siesta siesta,11,4,8.484,0,0.018822,0.974964,0,4,10029,0,0,0,0
158,25/3/22 20:21,Siesta siesta,11,4,8.535,0,-0.023356,0.996053,0,4,10143,0,0,0,0
159,25/3/22 20:21,Siesta siesta,11,4,8.584,0,-0.005452,1,0,4,10271,0,0,0,0
160,25/3/22 20:21,Siesta siesta,11,4,8.696,0,0.0625,1,0,4,10666,0,0,0,0
161,25/3/22 20:21,Siesta siesta,11,4,8.747,0,0.0625,1,0,4,10821,0,0,0,0
162,25/3/22 20:21,Siesta siesta,11,4,8.797,0,0.0625,1,0,4,10987,0,0,0,0
163,25/3/22 20:21,Siesta siesta,11,4,8.856,0,0.0625,1,0,4,11190,0,0,0,0
164,25/3/22 20:21,Siesta siesta,11,4,8.906,0,0.0625,1,0,4,11306,0,0,0,0
165,25/3/22 20:21,Siesta siesta,11,4,8.965,0,0.0625,1,0,4,11450,0,0,0,0
166,25/3/22 20:21,Siesta siesta,11,4,9.016,0,0.0625,1,0,4,11575,0,0,0,0
167,25/3/22 20:21,Siesta siesta,11,4,9.067,0,0.0625,1,0,4,11712,0,0,0,0
